opened_at,closed_at,symbol,side,quantity,entry_price,exit_price,pnl,fees
2026-09-18T20:55:43.600404+00:00,2026-09-18T20:55:43.600615+00:00,BTC/USDT,buy,0.05000000,29979.169706,30002.359300,1.159480,1.500118
2026-09-18T20:55:43.600754+00:00,2026-09-18T20:55:43.601284+00:00,BTC/USDT,buy,0.05000000,30418.225186,30744.222655,16.299873,1.537211
2026-09-18T20:55:43.601646+00:00,2026-09-18T20:55:43.602598+00:00,BTC/USDT,buy,0.05000000,31108.115773,31357.607978,12.474610,1.567880
2026-09-18T20:55:43.603510+00:00,2026-09-18T20:55:43.603784+00:00,BTC/USDT,buy,0.05000000,31813.365550,32341.564562,26.409951,1.617078
2026-09-18T20:55:43.603889+00:00,2026-09-18T20:55:43.603942+00:00,BTC/USDT,buy,0.05000000,32529.035601,32142.847370,-19.309412,1.607142
2026-09-18T20:55:43.604111+00:00,2026-09-18T20:55:43.604273+00:00,BTC/USDT,buy,0.05000000,32231.553409,32235.348813,0.189770,1.611767
2026-09-18T20:55:43.604479+00:00,2026-09-18T20:55:43.604591+00:00,BTC/USDT,buy,0.05000000,32254.272849,32091.804627,-8.123411,1.604590
2026-09-18T20:55:43.604741+00:00,2026-09-18T20:55:43.604810+00:00,BTC/USDT,buy,0.05000000,32209.429288,31676.887393,-26.627095,1.583844
2026-09-18T20:55:43.605028+00:00,2026-09-18T20:55:43.605125+00:00,BTC/USDT,buy,0.05000000,31804.642405,31550.075404,-12.728350,1.577504
2026-09-18T20:55:43.605641+00:00,2026-09-18T20:55:43.605775+00:00,BTC/USDT,buy,0.05000000,31296.201135,30699.532430,-29.833435,1.534977
2026-09-18T20:55:43.606069+00:00,2026-09-18T20:55:43.606717+00:00,BTC/USDT,buy,0.05000000,31018.414158,31317.806874,14.969636,1.565890
2026-09-18T20:55:43.607256+00:00,2026-09-18T20:55:43.607816+00:00,BTC/USDT,buy,0.05000000,30983.168507,31407.178481,21.200499,1.570359
2026-09-18T20:55:43.608302+00:00,2026-09-18T20:55:43.608441+00:00,BTC/USDT,buy,0.05000000,31397.011970,30933.973101,-23.151943,1.546699
2026-09-18T20:55:43.608981+00:00,2026-09-18T20:55:43.609135+00:00,BTC/USDT,buy,0.05000000,30753.205203,30350.216992,-20.149411,1.517511
2026-09-18T20:55:43.610298+00:00,2026-09-18T20:55:43.610687+00:00,BTC/USDT,buy,0.05000000,29895.429128,29687.751239,-10.383894,1.484388
2026-09-18T20:55:43.610839+00:00,2026-09-18T20:55:43.611131+00:00,BTC/USDT,buy,0.05000000,29818.124998,29707.824642,-5.515018,1.485391
2026-09-18T20:55:43.611329+00:00,2026-09-18T20:55:43.611440+00:00,BTC/USDT,buy,0.05000000,29803.472387,29788.092177,-0.769010,1.489405
2026-09-18T20:55:43.611607+00:00,2026-09-18T20:55:43.611776+00:00,BTC/USDT,buy,0.05000000,30020.184580,29665.113020,-17.753578,1.483256
2026-09-18T20:55:43.612275+00:00,2026-09-18T20:55:43.612467+00:00,BTC/USDT,buy,0.05000000,29563.878362,29713.627629,7.487463,1.485681
2026-09-18T20:55:43.612585+00:00,2026-09-18T20:55:43.613773+00:00,BTC/USDT,buy,0.05000000,29950.975596,31045.932780,54.747859,1.552297
2026-09-18T20:55:43.614011+00:00,2026-09-18T20:55:43.614242+00:00,BTC/USDT,buy,0.05000000,31240.114835,31003.217796,-11.844852,1.550161
2026-09-18T20:55:43.614376+00:00,2026-09-18T20:55:43.614598+00:00,BTC/USDT,buy,0.05000000,31632.768677,31447.497623,-9.263553,1.572375
2026-09-18T20:55:43.615200+00:00,2026-09-18T20:55:43.615438+00:00,BTC/USDT,buy,0.05000000,30758.224521,30585.252924,-8.648580,1.529263
2026-09-18T20:55:43.615583+00:00,2026-09-18T20:55:43.615665+00:00,BTC/USDT,buy,0.05000000,30700.553583,30488.141439,-10.620607,1.524407
2026-09-18T20:55:43.615809+00:00,2026-09-18T20:55:43.616033+00:00,BTC/USDT,buy,0.05000000,30908.919544,30752.098292,-7.841063,1.537605
2026-09-18T20:55:43.616283+00:00,2026-09-18T20:55:43.616458+00:00,BTC/USDT,buy,0.05000000,30963.633622,30687.611411,-13.801111,1.534381
2026-09-18T20:55:43.616602+00:00,2026-09-18T20:55:43.616946+00:00,BTC/USDT,buy,0.05000000,31037.258149,31077.415782,2.007882,1.553871
2026-09-18T20:55:43.617178+00:00,2026-09-18T20:55:43.618196+00:00,BTC/USDT,buy,0.05000000,31305.777299,31441.393779,6.780824,1.572070
2026-09-18T20:55:43.618835+00:00,2026-09-18T20:55:43.619381+00:00,BTC/USDT,buy,0.05000000,31323.195769,31352.841771,1.482300,1.567642
2026-09-18T20:55:43.619566+00:00,2026-09-18T20:55:43.619977+00:00,BTC/USDT,buy,0.05000000,31615.340500,31790.898541,8.777902,1.589545
2026-09-18T20:55:43.620130+00:00,2026-09-18T20:55:43.620518+00:00,BTC/USDT,buy,0.05000000,32097.597044,32562.376805,23.238988,1.628119
2026-09-18T20:55:43.620655+00:00,2026-09-18T20:55:43.620746+00:00,BTC/USDT,buy,0.05000000,32842.907705,32422.202049,-21.035283,1.621110
2026-09-18T20:55:43.621123+00:00,2026-09-18T20:55:43.621319+00:00,BTC/USDT,buy,0.05000000,32397.843184,32127.040736,-13.540122,1.606352
2026-09-18T20:55:43.621533+00:00,2026-09-18T20:55:43.622149+00:00,BTC/USDT,buy,0.05000000,32437.846311,33244.478768,40.331623,1.662224
2026-09-18T20:55:43.622458+00:00,2026-09-18T20:55:43.622933+00:00,BTC/USDT,buy,0.05000000,33276.437587,33671.566310,19.756436,1.683578
