opened_at,closed_at,symbol,side,quantity,entry_price,exit_price,pnl,fees
2026-09-18T20:55:43.654923+00:00,2026-09-18T20:55:43.655628+00:00,BTC/USDT,buy,0.05000000,30350.562378,32112.580368,88.100899,1.605629
2026-09-18T20:55:43.655840+00:00,2026-09-18T20:55:43.655970+00:00,BTC/USDT,buy,0.05000000,32381.634979,31941.726344,-21.995432,1.597086
2026-09-18T20:55:43.656206+00:00,2026-09-18T20:55:43.656272+00:00,BTC/USDT,buy,0.05000000,32181.709998,31726.719511,-22.749524,1.586336
2026-09-18T20:55:43.657077+00:00,2026-09-18T20:55:43.657678+00:00,BTC/USDT,buy,0.05000000,31005.460694,31100.593563,4.756643,1.555030
2026-09-18T20:55:43.658192+00:00,2026-09-18T20:55:43.658761+00:00,BTC/USDT,buy,0.05000000,31489.422654,30956.798844,-26.631190,1.547840
2026-09-18T20:55:43.660514+00:00,2026-09-18T20:55:43.661685+00:00,BTC/USDT,buy,0.05000000,29832.546699,29701.325262,-6.561072,1.485066
2026-09-18T20:55:43.661861+00:00,2026-09-18T20:55:43.661940+00:00,BTC/USDT,buy,0.05000000,29892.897581,29727.430270,-8.273366,1.486372
2026-09-18T20:55:43.663000+00:00,2026-09-18T20:55:43.665388+00:00,BTC/USDT,buy,0.05000000,29783.471073,31314.653442,76.559118,1.565733
2026-09-18T20:55:43.665649+00:00,2026-09-18T20:55:43.666332+00:00,BTC/USDT,buy,0.05000000,31504.512691,31168.700221,-16.790624,1.558435
2026-09-18T20:55:43.668317+00:00,2026-09-18T20:55:43.669287+00:00,BTC/USDT,buy,0.05000000,30995.566500,30886.657273,-5.445461,1.544333
2026-09-18T20:55:43.669657+00:00,2026-09-18T20:55:43.670598+00:00,BTC/USDT,buy,0.05000000,31188.155715,30828.411045,-17.987233,1.541421
2026-09-18T20:55:43.671755+00:00,2026-09-18T20:55:43.672336+00:00,BTC/USDT,buy,0.05000000,31072.875015,31014.584994,-2.914501,1.550729
2026-09-18T20:55:43.672462+00:00,2026-09-18T20:55:43.673014+00:00,BTC/USDT,buy,0.05000000,31424.479710,31133.447170,-14.551627,1.556672
