opened_at,closed_at,symbol,side,quantity,entry_price,exit_price,pnl,fees
2026-09-18T20:56:26.972344+00:00,2026-09-18T20:56:26.972460+00:00,BTC/USDT,buy,0.05000000,29979.169706,30002.359300,1.159480,1.500118
2026-09-18T20:56:26.972524+00:00,2026-09-18T20:56:26.972709+00:00,BTC/USDT,buy,0.05000000,30418.225186,30744.222655,16.299873,1.537211
2026-09-18T20:56:26.972759+00:00,2026-09-18T20:56:26.972900+00:00,BTC/USDT,buy,0.05000000,31108.115773,31357.607978,12.474610,1.567880
2026-09-18T20:56:26.972965+00:00,2026-09-18T20:56:26.973155+00:00,BTC/USDT,buy,0.05000000,31813.365550,32341.564562,26.409951,1.617078
2026-09-18T20:56:26.973224+00:00,2026-09-18T20:56:26.973277+00:00,BTC/USDT,buy,0.05000000,32529.035601,32142.847370,-19.309412,1.607142
2026-09-18T20:56:26.973390+00:00,2026-09-18T20:56:26.973511+00:00,BTC/USDT,buy,0.05000000,32231.553409,32235.348813,0.189770,1.611767
2026-09-18T20:56:26.973642+00:00,2026-09-18T20:56:26.973734+00:00,BTC/USDT,buy,0.05000000,32254.272849,32091.804627,-8.123411,1.604590
2026-09-18T20:56:26.973844+00:00,2026-09-18T20:56:26.973895+00:00,BTC/USDT,buy,0.05000000,32209.429288,31676.887393,-26.627095,1.583844
2026-09-18T20:56:26.974024+00:00,2026-09-18T20:56:26.974069+00:00,BTC/USDT,buy,0.05000000,31804.642405,31550.075404,-12.728350,1.577504
2026-09-18T20:56:26.974330+00:00,2026-09-18T20:56:26.974384+00:00,BTC/USDT,buy,0.05000000,31296.201135,30699.532430,-29.833435,1.534977
2026-09-18T20:56:26.974506+00:00,2026-09-18T20:56:26.974805+00:00,BTC/USDT,buy,0.05000000,31018.414158,31317.806874,14.969636,1.565890
2026-09-18T20:56:26.975042+00:00,2026-09-18T20:56:26.975302+00:00,BTC/USDT,buy,0.05000000,30983.168507,31407.178481,21.200499,1.570359
2026-09-18T20:56:26.975528+00:00,2026-09-18T20:56:26.975607+00:00,BTC/USDT,buy,0.05000000,31397.011970,30933.973101,-23.151943,1.546699
2026-09-18T20:56:26.975833+00:00,2026-09-18T20:56:26.975944+00:00,BTC/USDT,buy,0.05000000,30753.205203,30350.216992,-20.149411,1.517511
2026-09-18T20:56:26.976618+00:00,2026-09-18T20:56:26.977045+00:00,BTC/USDT,buy,0.05000000,29895.429128,29687.751239,-10.383894,1.484388
2026-09-18T20:56:26.977212+00:00,2026-09-18T20:56:26.977446+00:00,BTC/USDT,buy,0.05000000,29818.124998,29707.824642,-5.515018,1.485391
2026-09-18T20:56:26.977546+00:00,2026-09-18T20:56:26.977592+00:00,BTC/USDT,buy,0.05000000,29803.472387,29788.092177,-0.769010,1.489405
2026-09-18T20:56:26.977658+00:00,2026-09-18T20:56:26.977736+00:00,BTC/USDT,buy,0.05000000,30020.184580,29665.113020,-17.753578,1.483256
2026-09-18T20:56:26.977973+00:00,2026-09-18T20:56:26.978020+00:00,BTC/USDT,buy,0.05000000,29563.878362,29713.627629,7.487463,1.485681
2026-09-18T20:56:26.978054+00:00,2026-09-18T20:56:26.978867+00:00,BTC/USDT,buy,0.05000000,29950.975596,31045.932780,54.747859,1.552297
