opened_at,closed_at,symbol,side,quantity,entry_price,exit_price,pnl,fees
2026-09-18T20:56:27.030994+00:00,2026-09-18T20:56:27.031935+00:00,BTC/USDT,buy,0.05000000,30350.562378,32112.580368,88.100899,1.605629
2026-09-18T20:56:27.032144+00:00,2026-09-18T20:56:27.032266+00:00,BTC/USDT,buy,0.05000000,32381.634979,31941.726344,-21.995432,1.597086
2026-09-18T20:56:27.032417+00:00,2026-09-18T20:56:27.032478+00:00,BTC/USDT,buy,0.05000000,32181.709998,31726.719511,-22.749524,1.586336
2026-09-18T20:56:27.033216+00:00,2026-09-18T20:56:27.033567+00:00,BTC/USDT,buy,0.05000000,31005.460694,31100.593563,4.756643,1.555030
2026-09-18T20:56:27.033862+00:00,2026-09-18T20:56:27.034291+00:00,BTC/USDT,buy,0.05000000,31489.422654,30956.798844,-26.631190,1.547840
2026-09-18T20:56:27.036098+00:00,2026-09-18T20:56:27.037809+00:00,BTC/USDT,buy,0.05000000,29832.546699,29701.325262,-6.561072,1.485066
2026-09-18T20:56:27.038083+00:00,2026-09-18T20:56:27.038253+00:00,BTC/USDT,buy,0.05000000,29892.897581,29727.430270,-8.273366,1.486372
2026-09-18T20:56:27.039244+00:00,2026-09-18T20:56:27.041658+00:00,BTC/USDT,buy,0.05000000,29783.471073,31314.653442,76.559118,1.565733
2026-09-18T20:56:27.042166+00:00,2026-09-18T20:56:27.043052+00:00,BTC/USDT,buy,0.05000000,31504.512691,31168.700221,-16.790624,1.558435
2026-09-18T20:56:27.043824+00:00,2026-09-18T20:56:27.044311+00:00,BTC/USDT,buy,0.05000000,30995.566500,30886.657273,-5.445461,1.544333
2026-09-18T20:56:27.044404+00:00,2026-09-18T20:56:27.044767+00:00,BTC/USDT,buy,0.05000000,31188.155715,30828.411045,-17.987233,1.541421
2026-09-18T20:56:27.045237+00:00,2026-09-18T20:56:27.045723+00:00,BTC/USDT,buy,0.05000000,31072.875015,31014.584994,-2.914501,1.550729
2026-09-18T20:56:27.046063+00:00,2026-09-18T20:56:27.047034+00:00,BTC/USDT,buy,0.05000000,31424.479710,31133.447170,-14.551627,1.556672
2026-09-18T20:56:27.047397+00:00,2026-09-18T20:56:27.047638+00:00,BTC/USDT,buy,0.05000000,31571.329410,31543.438064,-1.394567,1.577172
