opened_at,closed_at,symbol,side,quantity,entry_price,exit_price,pnl,fees
2026-09-18T20:56:27.091370+00:00,2026-09-18T20:56:27.091713+00:00,BTC/USDT,buy,0.05000000,31693.326607,30480.376709,-60.647495,1.524019
2026-09-18T20:56:27.092029+00:00,2026-09-18T20:56:27.092460+00:00,BTC/USDT,buy,0.05000000,31727.918729,31112.946917,-30.748591,1.555647
2026-09-18T20:56:27.093894+00:00,2026-09-18T20:56:27.094520+00:00,BTC/USDT,buy,0.05000000,29717.453842,29711.733811,-0.286002,1.485587
2026-09-18T20:56:27.095099+00:00,2026-09-18T20:56:27.097138+00:00,BTC/USDT,buy,0.05000000,30014.193571,30862.294931,42.405068,1.543115
2026-09-18T20:56:27.099932+00:00,2026-09-18T20:56:27.102348+00:00,BTC/USDT,buy,0.05000000,31125.415278,31495.061931,18.482333,1.574753
2026-09-18T20:56:27.102786+00:00,2026-09-18T20:56:27.103975+00:00,BTC/USDT,buy,0.05000000,31630.439319,32036.099699,20.283019,1.601805
2026-09-18T20:56:27.104685+00:00,2026-09-18T20:56:27.106087+00:00,BTC/USDT,buy,0.05000000,33004.464244,33524.839703,26.018773,1.676242
2026-09-18T20:56:27.106288+00:00,2026-09-18T20:56:27.107328+00:00,BTC/USDT,buy,0.05000000,34351.569263,34165.939415,-9.281492,1.708297
2026-09-18T20:56:27.107610+00:00,2026-09-18T20:56:27.108318+00:00,BTC/USDT,buy,0.05000000,34935.463357,34428.958152,-25.325260,1.721448
2026-09-18T20:56:27.108518+00:00,2026-09-18T20:56:27.108565+00:00,BTC/USDT,buy,0.05000000,34670.186275,34744.152127,3.698293,1.737208
2026-09-18T20:56:27.108621+00:00,2026-09-18T20:56:27.109321+00:00,BTC/USDT,buy,0.05000000,34820.400568,34602.219108,-10.909073,1.730111
2026-09-18T20:56:27.109972+00:00,2026-09-18T20:56:27.111028+00:00,BTC/USDT,buy,0.05000000,35164.060396,34908.939645,-12.756038,1.745447
2026-09-18T20:56:27.117553+00:00,2026-09-18T20:56:27.120539+00:00,BTC/USDT,buy,0.05000000,32297.970289,33395.418203,54.872396,1.669771
2026-09-18T20:56:27.121092+00:00,2026-09-18T20:56:27.121680+00:00,BTC/USDT,buy,0.05000000,34784.944496,33621.974128,-58.148518,1.681099
2026-09-18T20:56:27.122124+00:00,2026-09-18T20:56:27.122609+00:00,BTC/USDT,buy,0.05000000,34682.564452,34042.064317,-32.025007,1.702103
2026-09-18T20:56:27.123980+00:00,2026-09-18T20:56:27.124392+00:00,BTC/USDT,buy,0.05000000,33608.120041,33029.533580,-28.929323,1.651477
2026-09-18T20:56:27.124697+00:00,2026-09-18T20:56:27.125153+00:00,BTC/USDT,buy,0.05000000,33646.249818,33114.998095,-26.562586,1.655750
2026-09-18T20:56:27.126012+00:00,2026-09-18T20:56:27.127025+00:00,BTC/USDT,buy,0.05000000,33140.795210,32750.978802,-19.490820,1.637549
2026-09-18T20:56:27.127873+00:00,2026-09-18T20:56:27.128510+00:00,BTC/USDT,buy,0.05000000,32937.449432,32358.322340,-28.956355,1.617916
