opened_at,closed_at,symbol,side,quantity,entry_price,exit_price,pnl,fees
2026-09-18T21:03:32.590335+00:00,2026-09-18T21:03:32.590953+00:00,BTC/USDT,buy,0.05000000,31515.776451,31266.479334,-12.464856,1.563324
2026-09-18T21:03:32.591296+00:00,2026-09-18T21:03:32.591573+00:00,BTC/USDT,buy,0.05000000,31131.709715,31231.142107,4.971620,1.561557
2026-09-18T21:03:32.591928+00:00,2026-09-18T21:03:32.595598+00:00,BTC/USDT,buy,0.05000000,30987.771129,29984.194377,-50.178838,1.499210
2026-09-18T21:03:32.597229+00:00,2026-09-18T21:03:32.599135+00:00,BTC/USDT,buy,0.05000000,31175.954977,31167.944744,-0.400512,1.558397
2026-09-18T21:03:32.600091+00:00,2026-09-18T21:03:32.600452+00:00,BTC/USDT,buy,0.05000000,31070.496287,31714.105333,32.180452,1.585705
2026-09-18T21:03:32.601949+00:00,2026-09-18T21:03:32.602812+00:00,BTC/USDT,buy,0.05000000,32308.139242,32650.265396,17.106308,1.632513
2026-09-18T21:03:32.603549+00:00,2026-09-18T21:03:32.603924+00:00,BTC/USDT,buy,0.05000000,33147.321228,33576.218483,21.444863,1.678811
2026-09-18T21:03:32.604463+00:00,2026-09-18T21:03:32.604878+00:00,BTC/USDT,buy,0.05000000,33550.616551,34186.238649,31.781105,1.709312
2026-09-18T21:03:32.609279+00:00,2026-09-18T21:03:32.628554+00:00,BTC/USDT,buy,0.05000000,34835.802783,34307.078588,-26.436210,1.715354
2026-09-18T21:03:32.629802+00:00,2026-09-18T21:03:32.633095+00:00,BTC/USDT,buy,0.05000000,33163.019336,32219.173688,-47.192282,1.610959
2026-09-18T21:03:32.642909+00:00,2026-09-18T21:03:32.643329+00:00,BTC/USDT,buy,0.05000000,33981.022225,34609.830329,31.440405,1.730492
2026-09-18T21:03:32.643841+00:00,2026-09-18T21:03:32.685536+00:00,BTC/USDT,buy,0.05000000,34162.646670,33596.444372,-28.310115,1.679822
2026-09-18T21:03:32.691710+00:00,2026-09-18T21:03:32.703495+00:00,BTC/USDT,buy,0.05000000,33260.365851,33320.890381,3.026227,1.666045
2026-09-18T21:03:32.704133+00:00,2026-09-18T21:03:32.705944+00:00,BTC/USDT,buy,0.05000000,32839.217537,31280.887173,-77.916518,1.564044
