opened_at,closed_at,symbol,side,quantity,entry_price,exit_price,pnl,fees
2026-09-18T21:03:32.536624+00:00,2026-09-18T21:03:32.537353+00:00,BTC/USDT,buy,0.05000000,30350.562378,32112.580368,88.100899,1.605629
2026-09-18T21:03:32.537531+00:00,2026-09-18T21:03:32.537640+00:00,BTC/USDT,buy,0.05000000,32381.634979,31941.726344,-21.995432,1.597086
2026-09-18T21:03:32.537799+00:00,2026-09-18T21:03:32.537865+00:00,BTC/USDT,buy,0.05000000,32181.709998,31726.719511,-22.749524,1.586336
2026-09-18T21:03:32.538580+00:00,2026-09-18T21:03:32.538908+00:00,BTC/USDT,buy,0.05000000,31005.460694,31100.593563,4.756643,1.555030
2026-09-18T21:03:32.539180+00:00,2026-09-18T21:03:32.539478+00:00,BTC/USDT,buy,0.05000000,31489.422654,30956.798844,-26.631190,1.547840
2026-09-18T21:03:32.541457+00:00,2026-09-18T21:03:32.542115+00:00,BTC/USDT,buy,0.05000000,29832.546699,29701.325262,-6.561072,1.485066
2026-09-18T21:03:32.542203+00:00,2026-09-18T21:03:32.542316+00:00,BTC/USDT,buy,0.05000000,29892.897581,29727.430270,-8.273366,1.486372
2026-09-18T21:03:32.542804+00:00,2026-09-18T21:03:32.543813+00:00,BTC/USDT,buy,0.05000000,29783.471073,31314.653442,76.559118,1.565733
2026-09-18T21:03:32.543961+00:00,2026-09-18T21:03:32.544528+00:00,BTC/USDT,buy,0.05000000,31504.512691,31168.700221,-16.790624,1.558435
2026-09-18T21:03:32.545121+00:00,2026-09-18T21:03:32.545589+00:00,BTC/USDT,buy,0.05000000,30995.566500,30886.657273,-5.445461,1.544333
2026-09-18T21:03:32.545798+00:00,2026-09-18T21:03:32.546481+00:00,BTC/USDT,buy,0.05000000,31188.155715,30828.411045,-17.987233,1.541421
2026-09-18T21:03:32.547298+00:00,2026-09-18T21:03:32.548650+00:00,BTC/USDT,buy,0.05000000,31072.875015,31014.584994,-2.914501,1.550729
2026-09-18T21:03:32.548909+00:00,2026-09-18T21:03:32.549682+00:00,BTC/USDT,buy,0.05000000,31424.479710,31133.447170,-14.551627,1.556672
2026-09-18T21:03:32.550091+00:00,2026-09-18T21:03:32.550501+00:00,BTC/USDT,buy,0.05000000,31571.329410,31543.438064,-1.394567,1.577172
2026-09-18T21:03:32.550606+00:00,2026-09-18T21:03:32.551695+00:00,BTC/USDT,buy,0.05000000,31524.615513,32469.653364,47.251893,1.623483
2026-09-18T21:03:32.552199+00:00,2026-09-18T21:03:32.552348+00:00,BTC/USDT,buy,0.05000000,32510.459582,32009.445694,-25.050694,1.600472
2026-09-18T21:03:32.552619+00:00,2026-09-18T21:03:32.553300+00:00,BTC/USDT,buy,0.05000000,32439.633524,32942.411252,25.138886,1.647121
2026-09-18T21:03:32.553564+00:00,2026-09-18T21:03:32.554337+00:00,BTC/USDT,buy,0.05000000,33667.414368,33576.079208,-4.566758,1.678804
2026-09-18T21:03:32.554899+00:00,2026-09-18T21:03:32.556607+00:00,BTC/USDT,buy,0.05000000,34119.158279,33943.451615,-8.785333,1.697173
2026-09-18T21:03:32.557456+00:00,2026-09-18T21:03:32.557972+00:00,BTC/USDT,buy,0.05000000,34683.698396,34172.831413,-25.543349,1.708642
2026-09-18T21:03:32.558361+00:00,2026-09-18T21:03:32.558557+00:00,BTC/USDT,buy,0.05000000,34514.447240,34401.726097,-5.636057,1.720086
