opened_at,closed_at,symbol,side,quantity,entry_price,exit_price,pnl,fees
2026-09-18T21:38:30.912957+00:00,2026-09-18T21:38:30.915215+00:00,BTC/USDT,buy,0.03312764,30201.369798,29884.406422,-10.500247,0.990000
2026-09-18T21:38:30.932616+00:00,2026-09-18T21:38:30.934042+00:00,BTC/USDT,buy,0.03260294,30649.087116,30327.424947,-10.487132,0.988763
2026-09-18T21:38:30.934554+00:00,2026-09-18T21:38:30.935487+00:00,BTC/USDT,buy,0.03221030,30983.947891,30658.771358,-10.474033,0.987528
2026-09-18T21:38:30.939110+00:00,2026-09-18T21:38:30.956200+00:00,BTC/USDT,buy,0.03184002,31305.121197,31357.607978,1.671180,0.998427
2026-09-18T21:38:30.974979+00:00,2026-09-18T21:38:30.978110+00:00,BTC/USDT,buy,0.03133033,31813.365550,32433.408045,19.426135,1.016149
2026-09-18T21:38:31.053638+00:00,2026-09-18T21:38:31.055537+00:00,BTC/USDT,buy,0.03174849,31449.224193,31119.164585,-10.478894,0.987986
2026-09-18T21:38:31.056849+00:00,2026-09-18T21:38:31.061330+00:00,BTC/USDT,buy,0.03146461,31693.326607,31360.705144,-10.465805,0.986752
2026-09-18T21:38:31.068521+00:00,2026-09-18T21:38:31.070587+00:00,BTC/USDT,buy,0.03162880,31489.422654,31407.178481,-2.601284,0.993371
2026-09-18T21:38:31.122511+00:00,2026-09-18T21:38:31.131051+00:00,BTC/USDT,buy,0.03323809,29950.975596,29981.371891,1.010315,0.996524
2026-09-18T21:38:31.131795+00:00,2026-09-18T21:38:31.132278+00:00,BTC/USDT,buy,0.03285800,30294.455484,30884.894421,19.400640,1.014816
2026-09-18T21:38:31.132504+00:00,2026-09-18T21:38:31.135397+00:00,BTC/USDT,buy,0.03232482,30847.966970,31449.193846,19.434551,1.016590
2026-09-18T21:38:31.140949+00:00,2026-09-18T21:38:31.141502+00:00,BTC/USDT,buy,0.03153461,31676.246430,31343.804224,-10.483434,0.988415
2026-09-18T21:38:31.143742+00:00,2026-09-18T21:38:31.144433+00:00,BTC/USDT,buy,0.03134574,31827.296930,31493.269449,-10.470339,0.987180
2026-09-18T21:38:31.152243+00:00,2026-09-18T21:38:31.152810+00:00,BTC/USDT,buy,0.03205822,31081.078727,30754.882806,-10.457261,0.985947
2026-09-18T21:38:31.157918+00:00,2026-09-18T21:38:31.159432+00:00,BTC/USDT,buy,0.03213099,30971.952159,30783.234962,-6.063671,0.989096
2026-09-18T21:38:31.163964+00:00,2026-09-18T21:38:31.168787+00:00,BTC/USDT,buy,0.03203744,31037.258149,30967.327747,-2.240391,0.992114
2026-09-18T21:38:31.173301+00:00,2026-09-18T21:38:31.175956+00:00,BTC/USDT,buy,0.03162921,31424.479710,32036.942819,19.371724,1.013303
2026-09-18T21:38:31.176266+00:00,2026-09-18T21:38:31.176570+00:00,BTC/USDT,buy,0.03122534,31886.562290,31551.912819,-10.449544,0.985219
2026-09-18T21:38:31.181385+00:00,2026-09-18T21:38:31.181683+00:00,BTC/USDT,buy,0.03132458,31745.835303,31412.662761,-10.436491,0.983989
2026-09-18T21:38:31.184126+00:00,2026-09-18T21:38:31.185560+00:00,BTC/USDT,buy,0.03114210,31891.972063,31790.898541,-3.147642,0.990035
2026-09-18T21:38:31.187425+00:00,2026-09-18T21:38:31.188930+00:00,BTC/USDT,buy,0.03049425,32552.681303,32492.261493,-1.842457,0.990827
2026-09-18T21:38:31.206605+00:00,2026-09-18T21:38:31.207476+00:00,BTC/USDT,buy,0.03020276,32854.181152,32509.376520,-10.414051,0.981873
2026-09-18T21:38:31.207926+00:00,2026-09-18T21:38:31.215529+00:00,BTC/USDT,buy,0.02990036,33144.999926,33244.478768,2.974453,0.994022
2026-09-18T21:38:31.223058+00:00,2026-09-18T21:38:31.229674+00:00,BTC/USDT,buy,0.02948979,33609.811498,33672.420324,1.846321,0.992993
2026-09-18T21:38:31.240354+00:00,2026-09-18T21:38:31.249174+00:00,BTC/USDT,buy,0.02899619,34181.479764,34050.725921,-3.791363,0.987341
2026-09-18T21:38:31.254640+00:00,2026-09-18T21:38:31.256690+00:00,BTC/USDT,buy,0.02879189,34403.970284,34263.340386,-4.049001,0.986506
2026-09-18T21:38:31.264739+00:00,2026-09-18T21:38:31.268104+00:00,BTC/USDT,buy,0.02854230,34683.698396,34319.692982,-10.389551,0.979563
2026-09-18T21:38:31.285551+00:00,2026-09-18T21:38:31.288352+00:00,BTC/USDT,buy,0.02842860,34778.913660,35456.754687,19.270073,1.007986
2026-09-18T21:38:31.288642+00:00,2026-09-18T21:38:31.290343+00:00,BTC/USDT,buy,0.02796525,35416.957219,35045.256253,-10.394711,0.980049
2026-09-18T21:38:31.304419+00:00,2026-09-18T21:38:31.305669+00:00,BTC/USDT,buy,0.02810425,35197.768147,34828.367571,-10.381727,0.978825
2026-09-18T21:38:31.313118+00:00,2026-09-18T21:38:31.313238+00:00,BTC/USDT,buy,0.02772732,35631.699651,35257.744963,-10.368760,0.977603
2026-09-18T21:38:31.319170+00:00,2026-09-18T21:38:31.319219+00:00,BTC/USDT,buy,0.02779455,35501.108063,35128.523934,-10.355808,0.976382
2026-09-18T21:38:31.319820+00:00,2026-09-18T21:38:31.320401+00:00,BTC/USDT,buy,0.02775947,35501.574571,35128.985546,-10.342873,0.975162
2026-09-18T21:38:31.325865+00:00,2026-09-18T21:38:31.325936+00:00,BTC/USDT,buy,0.02792105,35252.032223,34882.062145,-10.329954,0.973944
2026-09-18T21:38:31.326641+00:00,2026-09-18T21:38:31.327680+00:00,BTC/USDT,buy,0.02790577,35227.287346,34857.576965,-10.317051,0.972727
2026-09-18T21:38:31.336562+00:00,2026-09-18T21:38:31.337215+00:00,BTC/USDT,buy,0.02869408,34216.688992,33857.584841,-10.304164,0.971512
2026-09-18T21:38:31.347168+00:00,2026-09-18T21:38:31.349277+00:00,BTC/USDT,buy,0.02888842,33944.059304,33587.816402,-10.291294,0.970299
2026-09-18T21:38:31.376107+00:00,2026-09-18T21:38:31.382076+00:00,BTC/USDT,buy,0.03038982,32226.761532,32266.749070,1.215214,0.980581
2026-09-18T21:38:31.384313+00:00,2026-09-18T21:38:31.387206+00:00,BTC/USDT,buy,0.02995896,32687.747896,32344.689982,-10.277657,0.969013
2026-09-18T21:38:31.466991+00:00,2026-09-18T21:38:31.467341+00:00,BTC/USDT,buy,0.02907466,33639.866987,33286.816583,-10.264820,0.967803
2026-09-18T21:38:31.469024+00:00,2026-09-18T21:38:31.470510+00:00,BTC/USDT,buy,0.02895636,33735.106123,33381.056184,-10.251998,0.966594
2026-09-18T21:38:31.488938+00:00,2026-09-18T21:38:31.489361+00:00,BTC/USDT,buy,0.02946637,33109.810761,32762.323297,-10.239193,0.965387
2026-09-18T21:38:31.500671+00:00,2026-09-18T21:38:31.501012+00:00,BTC/USDT,buy,0.02919189,33379.374002,33029.057472,-10.226403,0.964181
2026-09-18T21:38:31.509112+00:00,2026-09-18T21:38:31.509346+00:00,BTC/USDT,buy,0.02936541,33140.687590,32792.876074,-10.213629,0.962976
2026-09-18T21:38:31.512692+00:00,2026-09-18T21:38:31.515289+00:00,BTC/USDT,buy,0.02916935,33321.777830,32972.065772,-10.200872,0.961774
2026-09-18T21:38:31.552316+00:00,2026-09-18T21:38:31.554144+00:00,BTC/USDT,buy,0.03136997,30945.531334,30620.757983,-10.188130,0.960572
