opened_at,closed_at,symbol,side,quantity,entry_price,exit_price,pnl,fees
2026-09-18T21:38:30.797855+00:00,2026-09-18T21:38:30.797965+00:00,BTC/USDT,buy,0.03296479,30350.562378,30032.033226,-10.500247,0.990000
2026-09-18T21:38:30.799187+00:00,2026-09-18T21:38:30.799310+00:00,BTC/USDT,buy,0.03085855,32381.634979,32041.789720,-10.487132,0.988763
2026-09-18T21:38:30.799610+00:00,2026-09-18T21:38:30.799665+00:00,BTC/USDT,buy,0.03101147,32181.709998,31843.962952,-10.474033,0.987528
2026-09-18T21:38:30.800668+00:00,2026-09-18T21:38:30.800729+00:00,BTC/USDT,buy,0.03214774,31005.460694,31609.757123,19.426766,1.016182
2026-09-18T21:38:30.801706+00:00,2026-09-18T21:38:30.802066+00:00,BTC/USDT,buy,0.03170899,31489.422654,31158.941164,-10.479235,0.988019
2026-09-18T21:38:30.804268+00:00,2026-09-18T21:38:30.804623+00:00,BTC/USDT,buy,0.03342828,29832.546699,29519.454122,-10.466145,0.986784
2026-09-18T21:38:30.805747+00:00,2026-09-18T21:38:30.806078+00:00,BTC/USDT,buy,0.03331912,29892.897581,29727.430270,-5.513225,0.990492
2026-09-18T21:38:30.808916+00:00,2026-09-18T21:38:30.810775+00:00,BTC/USDT,buy,0.03341634,29783.471073,30363.950924,19.397513,1.014652
2026-09-18T21:38:30.813730+00:00,2026-09-18T21:38:30.813891+00:00,BTC/USDT,buy,0.03164608,31504.512691,31173.872830,-10.463455,0.986531
2026-09-18T21:38:30.815376+00:00,2026-09-18T21:38:30.815407+00:00,BTC/USDT,buy,0.03212553,30995.566500,30670.268030,-10.450385,0.985299
2026-09-18T21:38:30.816062+00:00,2026-09-18T21:38:30.816334+00:00,BTC/USDT,buy,0.03188727,31188.155715,30860.836021,-10.437332,0.984068
2026-09-18T21:38:30.817574+00:00,2026-09-18T21:38:30.818355+00:00,BTC/USDT,buy,0.03196560,31072.875015,30746.765192,-10.424295,0.982839
2026-09-18T21:38:30.818624+00:00,2026-09-18T21:38:30.818957+00:00,BTC/USDT,buy,0.03156846,31424.479710,32036.942819,19.334515,1.011357
2026-09-18T21:38:30.820382+00:00,2026-09-18T21:38:30.820611+00:00,BTC/USDT,buy,0.03147654,31571.329410,31239.988308,-10.429472,0.983327
2026-09-18T21:38:30.821518+00:00,2026-09-18T21:38:30.822409+00:00,BTC/USDT,buy,0.03148381,31524.615513,32139.030269,19.344118,1.011859
2026-09-18T21:38:30.830861+00:00,2026-09-18T21:38:30.831046+00:00,BTC/USDT,buy,0.03058246,32510.459582,32169.262309,-10.434652,0.983815
2026-09-18T21:38:30.831875+00:00,2026-09-18T21:38:30.832206+00:00,BTC/USDT,buy,0.03061095,32439.633524,33071.881981,19.353725,1.012362
2026-09-18T21:38:30.833974+00:00,2026-09-18T21:38:30.834831+00:00,BTC/USDT,buy,0.02954619,33667.414368,33576.079208,-2.698606,0.992045
2026-09-18T21:38:30.835327+00:00,2026-09-18T21:38:30.836836+00:00,BTC/USDT,buy,0.02914125,34119.158279,33943.451615,-5.120312,0.989155
2026-09-18T21:38:30.837447+00:00,2026-09-18T21:38:30.837742+00:00,BTC/USDT,buy,0.02864643,34683.698396,34319.692982,-10.427456,0.983137
2026-09-18T21:38:30.838700+00:00,2026-09-18T21:38:30.839392+00:00,BTC/USDT,buy,0.02875095,34514.447240,34401.726097,-3.240840,0.989082
2026-09-18T21:38:30.839697+00:00,2026-09-18T21:38:30.839931+00:00,BTC/USDT,buy,0.02860673,34670.186275,35345.908206,19.330195,1.011131
